TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
1744506,9/30/2018 0:00,4423,7637,12.29,0
1744507,9/30/2018 0:00,3680,5369,222.32,1
1744508,9/30/2018 0:00,3255,1246,8.79,0
1744509,9/30/2018 0:01,1353,8423,33.77,0
1744510,9/30/2018 0:02,1231,1382,60.86,0
1744511,9/30/2018 0:03,2143,4106,143.69,0
1744512,9/30/2018 0:04,1663,3774,103.82,0
1744513,9/30/2018 0:06,2900,8242,11.99,0
1744514,9/30/2018 0:06,2923,3818,24.96,0
1744515,9/30/2018 0:07,2084,2592,57.55,0
1744516,9/30/2018 0:07,3783,3256,40.32,0
1744517,9/30/2018 0:08,716,6769,47.04,0
1744518,9/30/2018 0:12,1543,9995,72.58,0
1744519,9/30/2018 0:13,3317,4115,6.89,0
1744520,9/30/2018 0:14,3336,3200,30.31,0
1744521,9/30/2018 0:14,3787,6708,122.86,0
1744522,9/30/2018 0:14,621,5045,63.32,0
1744523,9/30/2018 0:15,2210,7622,13.17,0
1744524,9/30/2018 0:15,4929,5295,47.05,0
1744525,9/30/2018 0:16,3333,8537,61.57,0
1744526,9/30/2018 0:16,139,6194,85.61,0
1744527,9/30/2018 0:16,4941,4469,3.82,0
1744528,9/30/2018 0:17,234,388,43.73,0
1744529,9/30/2018 0:18,4591,4091,115.72,0
1744530,9/30/2018 0:18,3474,1543,8.56,0
1744531,9/30/2018 0:18,2551,9878,17.31,0
1744532,9/30/2018 0:19,1614,9915,128.91,0
1744533,9/30/2018 0:20,510,9561,53.06,0
1744534,9/30/2018 0:20,40,1840,124.01,0
1744535,9/30/2018 0:20,1376,9421,43.15,0
1744536,9/30/2018 0:26,3143,8609,74.4,0
1744537,9/30/2018 0:27,3817,5455,131.06,0
1744538,9/30/2018 0:27,2989,9987,7.74,0
1744539,9/30/2018 0:28,4339,1171,75.23,0
1744540,9/30/2018 0:29,3378,9640,12,0
1744541,9/30/2018 0:30,410,5704,101.59,0
1744542,9/30/2018 0:30,4073,4084,57.72,0
1744543,9/30/2018 0:32,3894,9300,45.37,0
1744544,9/30/2018 0:34,754,2763,85.15,0
1744545,9/30/2018 0:34,642,5303,64.73,0
1744546,9/30/2018 0:35,1944,2149,9.76,0
1744547,9/30/2018 0:35,4791,6668,93.38,0
1744548,9/30/2018 0:36,1196,195,9.94,0
1744549,9/30/2018 0:36,158,3491,11.78,0
1744550,9/30/2018 0:36,2866,3871,24.88,0
1744551,9/30/2018 0:36,4896,5494,9.05,0
1744552,9/30/2018 0:36,4673,6589,18.32,0
1744553,9/30/2018 0:36,3890,8158,34.83,0
1744554,9/30/2018 0:37,2351,647,57,0
1744555,9/30/2018 0:37,1056,542,61.51,0
1744556,9/30/2018 0:38,431,1027,43.92,0
1744557,9/30/2018 0:39,2437,5627,70.51,0
1744558,9/30/2018 0:40,858,8721,64,0
1744559,9/30/2018 0:42,454,7692,82.76,0
1744560,9/30/2018 0:42,2800,5566,61.8,0
1744561,9/30/2018 0:43,4699,6183,63.56,0
1744562,9/30/2018 0:43,2991,1723,17.9,0
1744563,9/30/2018 0:43,2441,7052,101.54,0
1744564,9/30/2018 0:43,515,6617,98.89,0
1744565,9/30/2018 0:44,4275,9708,85.04,0
1744566,9/30/2018 0:44,1139,5598,29.94,0
1744567,9/30/2018 0:44,3543,8994,28.18,0
1744568,9/30/2018 0:45,918,8211,8.03,0
1744569,9/30/2018 0:46,4736,4041,61.35,0
1744570,9/30/2018 0:47,2960,8452,58.07,0
1744571,9/30/2018 0:47,3791,6334,114.12,0
1744572,9/30/2018 0:48,3163,7200,4.36,0
1744573,9/30/2018 0:49,2522,2458,30.82,0
1744574,9/30/2018 0:50,3657,5980,18.39,0
1744575,9/30/2018 0:51,1408,674,81.29,0
1744576,9/30/2018 0:52,2064,4314,164.99,0
1744577,9/30/2018 0:52,1276,9946,53.35,0
1744578,9/30/2018 0:53,4452,9341,15.9,0
1744579,9/30/2018 0:53,2953,1006,78.77,0
1744580,9/30/2018 0:53,3511,9170,12.26,0
1744581,9/30/2018 0:54,3001,3075,61.28,0
1744582,9/30/2018 0:55,2605,433,44.38,0
1744583,9/30/2018 0:55,2957,6322,98.9,0
1744584,9/30/2018 0:56,1991,81,121.43,0
1744585,9/30/2018 0:56,3439,842,107.85,0
1744586,9/30/2018 0:56,4778,6951,67.83,0
1744587,9/30/2018 0:56,2470,9887,19.84,0
1744588,9/30/2018 0:56,4746,4718,26.38,0
1744589,9/30/2018 0:57,2084,9323,31.76,0
1744590,9/30/2018 0:57,212,3126,94.09,0
1744591,9/30/2018 0:58,3206,5325,29.67,0
1744592,9/30/2018 1:02,2824,9981,49.18,0
1744593,9/30/2018 1:03,640,4881,10.66,0
1744594,9/30/2018 1:04,4721,890,16.25,0
1744595,9/30/2018 1:04,498,9362,29.71,0
1744596,9/30/2018 1:04,3825,1851,53.2,0
1744597,9/30/2018 1:05,3010,5016,80.4,0
1744598,9/30/2018 1:05,4911,2972,70.65,0
1744599,9/30/2018 1:06,473,5023,10.52,0
1744600,9/30/2018 1:07,2590,7146,63.41,0
1744601,9/30/2018 1:07,2372,159,71.85,0
1744602,9/30/2018 1:07,2148,1930,5.29,0
1744603,9/30/2018 1:07,302,857,11.42,0
1744604,9/30/2018 1:08,1914,4327,43.93,0
1744605,9/30/2018 1:08,2611,9897,19.43,0
1744606,9/30/2018 1:09,1726,5717,22.7,0
1744607,9/30/2018 1:10,856,2098,64.02,0
1744608,9/30/2018 1:11,2354,2720,36.06,0
1744609,9/30/2018 1:12,759,1810,52.26,0
1744610,9/30/2018 1:12,871,1862,44.99,0
1744611,9/30/2018 1:12,2408,1700,62.74,0
1744612,9/30/2018 1:13,1276,4261,11.52,0
1744613,9/30/2018 1:13,1762,7102,7.55,0
1744614,9/30/2018 1:13,2771,1635,78.81,0
1744615,9/30/2018 1:14,4872,362,20.74,0
1744616,9/30/2018 1:14,3859,7986,14.78,0
1744617,9/30/2018 1:14,3256,3162,7.81,0
1744618,9/30/2018 1:14,4590,2577,62.59,0
